"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","75 A 79","ALEMANIA",2019,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","","","",1
"H","75 A 79","ALEMANIA",2019,17,"REGIÓN IGNORADA","","1","","1",1
"H","75 A 79","ALEMANIA",2020,1,"ARICA Y PARINACOTA","4","","","",4
"H","75 A 79","ALEMANIA",2020,3,"ANTOFAGASTA","1","","","",1
"H","75 A 79","ALEMANIA",2020,4,"ATACAMA","1","","","",1
"H","75 A 79","ALEMANIA",2020,5,"COQUIMBO","5","","","",5
"H","75 A 79","ALEMANIA",2020,6,"VALPARAÍSO","30","","1","1",31
"H","75 A 79","ALEMANIA",2020,7,"METROPOLITANA DE SANTIAGO","79","1","2","3",82
"H","75 A 79","ALEMANIA",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","1","","1","1",2
"H","75 A 79","ALEMANIA",2020,9,"MAULE","7","","","",7
"H","75 A 79","ALEMANIA",2020,10,"ÑUBLE","3","","","",3
"H","75 A 79","ALEMANIA",2020,11,"BIOBÍO","11","1","","1",12
"H","75 A 79","ALEMANIA",2020,12,"LA ARAUCANÍA","12","","","",12
"H","75 A 79","ALEMANIA",2020,13,"LOS RÍOS","8","","","",8
"H","75 A 79","ALEMANIA",2020,14,"LOS LAGOS","12","","2","2",14
"H","75 A 79","ALEMANIA",2020,17,"REGIÓN IGNORADA","","1","1","2",2
"H","75 A 79","ALEMANIA",2021,1,"ARICA Y PARINACOTA","3","","","",3
"H","75 A 79","ALEMANIA",2021,3,"ANTOFAGASTA","1","","","",1
"H","75 A 79","ALEMANIA",2021,4,"ATACAMA","2","","","",2
"H","75 A 79","ALEMANIA",2021,5,"COQUIMBO","4","","","",4
"H","75 A 79","ALEMANIA",2021,6,"VALPARAÍSO","29","","","",29
"H","75 A 79","ALEMANIA",2021,7,"METROPOLITANA DE SANTIAGO","90","2","3","5",95
