"";"pais";"año";"region";"comuna";"estimacion"
"206";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"ÑUÑOA";335
"207";"ALEMANIA";"2022";"TARAPACÁ";"ALTO HOSPICIO";3
"208";"ALEMANIA";"2022";"TARAPACÁ";"IQUIQUE";38
"209";"ALEMANIA";"2022";"VALPARAÍSO";"VALPARAÍSO";171
"210";"ALEMANIA";"2022";"VALPARAÍSO";"VIÑA DEL MAR";320
"211";"ARGENTINA";"2018";"ANTOFAGASTA";"ANTOFAGASTA";1354
"212";"ARGENTINA";"2018";"ANTOFAGASTA";"CALAMA";661
"213";"ARGENTINA";"2018";"ARICA Y PARINACOTA";"ARICA";371
"214";"ARGENTINA";"2018";"ATACAMA";"COPIAPÓ";361
"215";"ARGENTINA";"2018";"BIOBÍO";"CONCEPCIÓN";590
"216";"ARGENTINA";"2018";"COQUIMBO";"COQUIMBO";772
"217";"ARGENTINA";"2018";"COQUIMBO";"LA SERENA";722
"218";"ARGENTINA";"2018";"LA ARAUCANÍA";"TEMUCO";1949
"219";"ARGENTINA";"2018";"LIBERTADOR GENERAL BERNARDO O'HIGGINS";"RANCAGUA";688
"220";"ARGENTINA";"2018";"LOS LAGOS";"PUERTO MONTT";1650
"221";"ARGENTINA";"2018";"MAULE";"CURICÓ";394
"222";"ARGENTINA";"2018";"MAULE";"TALCA";503
"223";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"CERRO NAVIA";447
"224";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"COLINA";1341
"225";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"CONCHALÍ";389
"226";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"ESTACIÓN CENTRAL";509
"227";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"INDEPENDENCIA";398
"228";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"LA CISTERNA";429
"229";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"LA FLORIDA";1392
"230";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"LAS CONDES";4953
"231";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"LO BARNECHEA";1630
"232";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"LO PRADO";244
"233";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"MACUL";490
"234";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"MAIPÚ";1772
"235";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"MELIPILLA";257
"236";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"PEÑALOLÉN";961
"237";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"PROVIDENCIA";1918
"238";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"PUDAHUEL";756
"239";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"PUENTE ALTO";1976
"240";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"QUILICURA";803
"241";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"QUINTA NORMAL";432
"242";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"RECOLETA";609
"243";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"SAN BERNARDO";1023
"244";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"SAN JOAQUÍN";430
"245";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"SAN MIGUEL";504
"246";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"SANTIAGO";2888
"247";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"VITACURA";1302
"248";"ARGENTINA";"2018";"METROPOLITANA DE SANTIAGO";"ÑUÑOA";1756
"249";"ARGENTINA";"2018";"TARAPACÁ";"ALTO HOSPICIO";293
"250";"ARGENTINA";"2018";"TARAPACÁ";"IQUIQUE";726
"251";"ARGENTINA";"2018";"VALPARAÍSO";"VALPARAÍSO";1322
"252";"ARGENTINA";"2018";"VALPARAÍSO";"VIÑA DEL MAR";2190
"253";"ARGENTINA";"2019";"ANTOFAGASTA";"ANTOFAGASTA";1407
"254";"ARGENTINA";"2019";"ANTOFAGASTA";"CALAMA";679
"255";"ARGENTINA";"2019";"ARICA Y PARINACOTA";"ARICA";376
