"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"215";"ARGENTINA";"2018";590;8101;"Concepción";8;"Biobío"
"216";"ARGENTINA";"2018";772;4102;"Coquimbo";4;"Coquimbo"
"217";"ARGENTINA";"2018";722;4101;"La Serena";4;"Coquimbo"
"218";"ARGENTINA";"2018";1949;9101;"Temuco";9;"La Araucanía"
"219";"ARGENTINA";"2018";688;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"220";"ARGENTINA";"2018";1650;10101;"Puerto Montt";10;"Los Lagos"
"221";"ARGENTINA";"2018";394;7301;"Curicó";7;"Maule"
"222";"ARGENTINA";"2018";503;7101;"Talca";7;"Maule"
"223";"ARGENTINA";"2018";447;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"224";"ARGENTINA";"2018";1341;13301;"Colina";13;"Metropolitana de Santiago"
"225";"ARGENTINA";"2018";389;13104;"Conchalí";13;"Metropolitana de Santiago"
"226";"ARGENTINA";"2018";509;13106;"Estación Central";13;"Metropolitana de Santiago"
"227";"ARGENTINA";"2018";398;13108;"Independencia";13;"Metropolitana de Santiago"
"228";"ARGENTINA";"2018";429;13109;"La Cisterna";13;"Metropolitana de Santiago"
"229";"ARGENTINA";"2018";1392;13110;"La Florida";13;"Metropolitana de Santiago"
"230";"ARGENTINA";"2018";4953;13114;"Las Condes";13;"Metropolitana de Santiago"
"231";"ARGENTINA";"2018";1630;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"232";"ARGENTINA";"2018";244;13117;"Lo Prado";13;"Metropolitana de Santiago"
"233";"ARGENTINA";"2018";490;13118;"Macul";13;"Metropolitana de Santiago"
"234";"ARGENTINA";"2018";1772;13119;"Maipú";13;"Metropolitana de Santiago"
"235";"ARGENTINA";"2018";257;13501;"Melipilla";13;"Metropolitana de Santiago"
"236";"ARGENTINA";"2018";961;13122;"Peñalolén";13;"Metropolitana de Santiago"
"237";"ARGENTINA";"2018";1918;13123;"Providencia";13;"Metropolitana de Santiago"
"238";"ARGENTINA";"2018";756;13124;"Pudahuel";13;"Metropolitana de Santiago"
"239";"ARGENTINA";"2018";1976;13201;"Puente Alto";13;"Metropolitana de Santiago"
"240";"ARGENTINA";"2018";803;13125;"Quilicura";13;"Metropolitana de Santiago"
"241";"ARGENTINA";"2018";432;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"242";"ARGENTINA";"2018";609;13127;"Recoleta";13;"Metropolitana de Santiago"
"243";"ARGENTINA";"2018";1023;13401;"San Bernardo";13;"Metropolitana de Santiago"
"244";"ARGENTINA";"2018";430;13129;"San Joaquín";13;"Metropolitana de Santiago"
"245";"ARGENTINA";"2018";504;13130;"San Miguel";13;"Metropolitana de Santiago"
"246";"ARGENTINA";"2018";2888;13101;"Santiago";13;"Metropolitana de Santiago"
"247";"ARGENTINA";"2018";1302;13132;"Vitacura";13;"Metropolitana de Santiago"
"248";"ARGENTINA";"2018";1756;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"249";"ARGENTINA";"2018";293;1107;"Alto Hospicio";1;"Tarapacá"
"250";"ARGENTINA";"2018";726;1101;"Iquique";1;"Tarapacá"
"251";"ARGENTINA";"2018";1322;5101;"Valparaíso";5;"Valparaíso"
"252";"ARGENTINA";"2018";2190;5109;"Viña del Mar";5;"Valparaíso"
"253";"ARGENTINA";"2019";1407;2101;"Antofagasta";2;"Antofagasta"
"254";"ARGENTINA";"2019";679;2201;"Calama";2;"Antofagasta"
"255";"ARGENTINA";"2019";376;15101;"Arica";15;"Arica y Parinacota"
"256";"ARGENTINA";"2019";387;3101;"Copiapó";3;"Atacama"
"257";"ARGENTINA";"2019";619;8101;"Concepción";8;"Biobío"
"258";"ARGENTINA";"2019";801;4102;"Coquimbo";4;"Coquimbo"
"259";"ARGENTINA";"2019";753;4101;"La Serena";4;"Coquimbo"
"260";"ARGENTINA";"2019";1999;9101;"Temuco";9;"La Araucanía"
"261";"ARGENTINA";"2019";695;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"262";"ARGENTINA";"2019";1673;10101;"Puerto Montt";10;"Los Lagos"
"263";"ARGENTINA";"2019";404;7301;"Curicó";7;"Maule"
"264";"ARGENTINA";"2019";529;7101;"Talca";7;"Maule"
"265";"ARGENTINA";"2019";450;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"266";"ARGENTINA";"2019";1360;13301;"Colina";13;"Metropolitana de Santiago"
"267";"ARGENTINA";"2019";397;13104;"Conchalí";13;"Metropolitana de Santiago"
"268";"ARGENTINA";"2019";535;13106;"Estación Central";13;"Metropolitana de Santiago"
"269";"ARGENTINA";"2019";412;13108;"Independencia";13;"Metropolitana de Santiago"
"270";"ARGENTINA";"2019";440;13109;"La Cisterna";13;"Metropolitana de Santiago"
"271";"ARGENTINA";"2019";1424;13110;"La Florida";13;"Metropolitana de Santiago"
"272";"ARGENTINA";"2019";5103;13114;"Las Condes";13;"Metropolitana de Santiago"
"273";"ARGENTINA";"2019";1653;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"274";"ARGENTINA";"2019";248;13117;"Lo Prado";13;"Metropolitana de Santiago"
"275";"ARGENTINA";"2019";509;13118;"Macul";13;"Metropolitana de Santiago"
"276";"ARGENTINA";"2019";1813;13119;"Maipú";13;"Metropolitana de Santiago"
"277";"ARGENTINA";"2019";271;13501;"Melipilla";13;"Metropolitana de Santiago"
"278";"ARGENTINA";"2019";968;13122;"Peñalolén";13;"Metropolitana de Santiago"
"279";"ARGENTINA";"2019";1999;13123;"Providencia";13;"Metropolitana de Santiago"
"280";"ARGENTINA";"2019";769;13124;"Pudahuel";13;"Metropolitana de Santiago"
"281";"ARGENTINA";"2019";2004;13201;"Puente Alto";13;"Metropolitana de Santiago"
"282";"ARGENTINA";"2019";810;13125;"Quilicura";13;"Metropolitana de Santiago"
"283";"ARGENTINA";"2019";442;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"284";"ARGENTINA";"2019";631;13127;"Recoleta";13;"Metropolitana de Santiago"
"285";"ARGENTINA";"2019";1059;13401;"San Bernardo";13;"Metropolitana de Santiago"
"286";"ARGENTINA";"2019";440;13129;"San Joaquín";13;"Metropolitana de Santiago"
"287";"ARGENTINA";"2019";513;13130;"San Miguel";13;"Metropolitana de Santiago"
"288";"ARGENTINA";"2019";3007;13101;"Santiago";13;"Metropolitana de Santiago"
"289";"ARGENTINA";"2019";1321;13132;"Vitacura";13;"Metropolitana de Santiago"
"290";"ARGENTINA";"2019";1800;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"291";"ARGENTINA";"2019";310;1107;"Alto Hospicio";1;"Tarapacá"
"292";"ARGENTINA";"2019";784;1101;"Iquique";1;"Tarapacá"
"293";"ARGENTINA";"2019";1358;5101;"Valparaíso";5;"Valparaíso"
"294";"ARGENTINA";"2019";2258;5109;"Viña del Mar";5;"Valparaíso"
"295";"ARGENTINA";"2020";1424;2101;"Antofagasta";2;"Antofagasta"
"296";"ARGENTINA";"2020";692;2201;"Calama";2;"Antofagasta"
"297";"ARGENTINA";"2020";382;15101;"Arica";15;"Arica y Parinacota"
"298";"ARGENTINA";"2020";397;3101;"Copiapó";3;"Atacama"
"299";"ARGENTINA";"2020";615;8101;"Concepción";8;"Biobío"
"300";"ARGENTINA";"2020";824;4102;"Coquimbo";4;"Coquimbo"
"301";"ARGENTINA";"2020";767;4101;"La Serena";4;"Coquimbo"
"302";"ARGENTINA";"2020";2025;9101;"Temuco";9;"La Araucanía"
"303";"ARGENTINA";"2020";706;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"304";"ARGENTINA";"2020";1688;10101;"Puerto Montt";10;"Los Lagos"
"305";"ARGENTINA";"2020";421;7301;"Curicó";7;"Maule"
"306";"ARGENTINA";"2020";549;7101;"Talca";7;"Maule"
"307";"ARGENTINA";"2020";454;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"308";"ARGENTINA";"2020";1378;13301;"Colina";13;"Metropolitana de Santiago"
"309";"ARGENTINA";"2020";400;13104;"Conchalí";13;"Metropolitana de Santiago"
"310";"ARGENTINA";"2020";552;13106;"Estación Central";13;"Metropolitana de Santiago"
"311";"ARGENTINA";"2020";422;13108;"Independencia";13;"Metropolitana de Santiago"
"312";"ARGENTINA";"2020";454;13109;"La Cisterna";13;"Metropolitana de Santiago"
"313";"ARGENTINA";"2020";1453;13110;"La Florida";13;"Metropolitana de Santiago"
"314";"ARGENTINA";"2020";5263;13114;"Las Condes";13;"Metropolitana de Santiago"
"315";"ARGENTINA";"2020";1682;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"316";"ARGENTINA";"2020";249;13117;"Lo Prado";13;"Metropolitana de Santiago"
"317";"ARGENTINA";"2020";520;13118;"Macul";13;"Metropolitana de Santiago"
"318";"ARGENTINA";"2020";1821;13119;"Maipú";13;"Metropolitana de Santiago"
"319";"ARGENTINA";"2020";290;13501;"Melipilla";13;"Metropolitana de Santiago"
"320";"ARGENTINA";"2020";983;13122;"Peñalolén";13;"Metropolitana de Santiago"
"321";"ARGENTINA";"2020";2056;13123;"Providencia";13;"Metropolitana de Santiago"
"322";"ARGENTINA";"2020";780;13124;"Pudahuel";13;"Metropolitana de Santiago"
"323";"ARGENTINA";"2020";2014;13201;"Puente Alto";13;"Metropolitana de Santiago"
